"id_study","id_row","sc_authors","sc_pub_year","sc_impact_factor_that_year","sc_pub_type","sa_data_year","sa_random","sa_bias_demographics","sa_bias_involvement","sa_bias_language","sa_approached_participated","sa_began_finished","sa_age_m_iv","sa_age_sd_iv","sa_age_m_dv","sa_age_sd_dv","sa_p_male","sa_age_m_f","sa_age_sd_f","sa_p_single_parent","sa_country","sa_p_hispanic_f","sa_p_black_f","sa_p_asian_f","sa_p_otherethnic_f","sa_p_low_ses_family","sa_p_bilingual","sa_pop_dens","sa_mother","sa_p_bio","sa_p_intact","sa_p_firstborn","de_experiment","de_longitudinal","de_manipulation","de_larger_study","iv_qualitative","iv_assessment","iv_location","iv_researcher_present","iv_informant","iv_recording","iv_reliability","iv_validity","dv_type","dv_assessment","dv_location","dv_researcher_present","dv_informant","dv_recording","dv_timelag","dv_reliability","dv_validity","es_reverse_coded","es_type","es_partial","es_controls","es_n","es_correlation","iv_type_cat","dv_instrumentname_cat","sa_larger_study_cat"
9,28,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.333333333,0,3,0,1,27.3,6.24478491935484,0.16157210433,"US",0.08682051464,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.85884322619,1,"0","1","0","1","0","Q","H","1","M","0",0.784084682539683,"1","G","A","H","1","R","0",2.666666667,0.935,"1","0","R","0",0,82,0.21,"support","SICD","Child health assessment"
9,29,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.333333333,0,4,0,1,27.3,6.26185241935484,0.16307210433,"US",0.08709874846,0.088,0.01037392876,0.067,0.3,0.0225481631351162,"U","1",1,0.86062322619,1,"0","1","0","1","0","Q","H","1","M","0",0.777854985569986,"1","R","A","H","1","R","0",3.666666667,0.97,"1","0","R","0",0,82,0.21,"support","Other","Child health assessment"
9,30,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.666666667,0,3,0,1,27.3,6.25818491935484,0.1647782899,"US",0.08558599464,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.86397704062,1,"0","1","0","1","0","Q","H","1","M","0",0.791734682539683,"1","R","A","H","1","R","0",2.333333333,0.935,"1","0","R","0",0,82,0.42,"support","SICD","Child health assessment"
9,31,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.666666667,0,3,0,1,27.3,6.25870741935484,0.16157210433,"US",0.08640689016,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.85927704062,1,"0","1","0","1","0","Q","H","1","M","0",0.790934682539683,"1","G","A","H","1","R","0",2.333333333,0.935,"1","0","R","0",0,82,0.22,"support","SICD","Child health assessment"
9,32,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.666666667,0,4,0,1,27.3,6.26925241935484,0.16307210433,"US",0.08713794007,0.088,0.01037392876,0.067,0.3,0.0225481631351162,"U","1",1,0.86062322619,1,"0","1","0","1","0","Q","H","1","M","0",0.785574985569986,"1","R","A","H","1","R","0",3.333333333,0.97,"1","0","R","0",0,82,0.23,"support","Other","Child health assessment"
9,33,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,1,0,3,0,1,27.3,6.25026241935484,0.16415973319,"US",0.08558599464,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.86115704062,1,"0","1","0","1","0","Q","H","1","M","0",0.791034682539683,"1","R","A","H","1","R","0",2,0.935,"1","0","R","0",0,82,0.33,"support","SICD","Child health assessment"
9,34,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,1,0,3,0,1,27.3,6.25078491935484,0.16095354762,"US",0.08640689016,0.088,0.01039780936,0.067,0.3,0.0218081631351162,"U","1",1,0.85666322619,1,"0","1","0","1","0","Q","H","1","M","0",0.789334682539683,"1","G","A","H","1","R","0",2,0.935,"1","0","R","0",0,82,0.11,"support","SICD","Child health assessment"
9,35,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,1,0,4,0,1,27.3,6.26237491935484,0.16265973319,"US",0.08713794007,0.088,0.01037392876,0.067,0.3,0.0225481631351162,"U","1",1,0.86094322619,1,"0","1","0","1","0","Q","H","1","M","0",0.785404985569986,"1","R","A","H","1","R","0",3,0.97,"1","0","R","0",0,82,0.2,"support","Other","Child health assessment"
10,36,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.083333333,0,3,0,0,27.3,6.32011991935484,0.16415973319,"US",0.08862141016,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.86560466948,1,"0","1","0","1","0","Q","H","1","M","0",0.798184682539683,"1","R","A","H","1","R","0",2.916666667,0.935,"1","0","R","0",0,87,0.09,"support","SICD","Child health assessment"
10,37,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.083333333,0,3,0,0,27.3,6.36539741935484,0.16265973319,"US",0.09032729251,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.85948466948,1,"0","1","0","1","0","Q","H","1","M","0",0.800714682539683,"1","G","A","H","1","R","0",2.916666667,0.935,"1","0","R","0",0,87,-0.08,"support","SICD","Child health assessment"
10,38,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.083333333,0,4,0,0,27.3,6.46138677419355,0.16415973319,"US",0.11233575552,0.088,0.00930520945,0.067,0.3,0.0406901382006976,"U","1",1,0.86277704062,1,"0","1","0","1","0","Q","H","1","M","0",0.790858318903319,"1","R","A","H","1","R","0",3.916666667,0.97,"1","0","R","0",0,87,-0.03,"support","Other","Child health assessment"
10,39,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.333333333,0,3,0,0,27.3,6.32011991935484,0.16415973319,"US",0.08862141016,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.86592466948,1,"0","1","0","1","0","Q","H","1","M","0",0.798184682539683,"1","R","A","H","1","R","0",2.666666667,0.935,"1","0","R","0",0,87,0.09,"support","SICD","Child health assessment"
10,40,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.333333333,0,3,0,0,27.3,6.36539741935484,0.16265973319,"US",0.09032729251,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.85980466948,1,"0","1","0","1","0","Q","H","1","M","0",0.799014682539683,"1","G","A","H","1","R","0",2.666666667,0.935,"1","0","R","0",0,87,-0.03,"support","SICD","Child health assessment"
10,41,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.333333333,0,4,0,0,27.3,6.42118677419355,0.16415973319,"US",0.11062987317,0.088,0.00930520945,0.067,0.3,0.0406901382006976,"U","1",1,0.86451704062,1,"0","1","0","1","0","Q","H","1","M","0",0.787658318903319,"1","R","A","H","1","R","0",3.666666667,0.97,"1","0","R","0",0,87,0.04,"support","Other","Child health assessment"
10,42,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.666666667,0,3,0,0,27.3,6.33781991935484,0.16415973319,"US",0.08820778568,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.86656466948,1,"0","1","0","1","0","Q","H","1","M","0",0.804384682539683,"1","R","A","H","1","R","0",2.333333333,0.935,"1","0","R","0",0,87,0.13,"support","SICD","Child health assessment"
10,43,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.666666667,0,3,0,0,27.3,6.33781991935484,0.16265973319,"US",0.08820778568,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.86186466948,1,"0","1","0","1","0","Q","H","1","M","0",0.804848015873016,"1","G","A","H","1","R","0",2.333333333,0.935,"1","0","R","0",0,87,0.14,"support","SICD","Child health assessment"
10,44,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,0.666666667,0,4,0,0,27.3,6.42728677419355,0.16586591876,"US",0.11066906478,0.088,0.00930520945,0.067,0.3,0.0406901382006976,"U","1",1,0.86733704062,1,"0","1","0","1","0","Q","H","1","M","0",0.795191652236653,"1","R","A","H","1","R","0",3.333333333,0.97,"1","0","R","0",0,87,0.27,"support","Other","Child health assessment"
10,45,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,1,0,3,0,0,27.3,6.32137491935484,0.16395354762,"US",0.08820778568,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.86677085505,1,"0","1","0","1","0","Q","H","1","M","0",0.805418015873016,"1","R","A","H","1","R","0",2,0.935,"1","0","R","0",0,87,0.19,"support","SICD","Child health assessment"
10,46,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,1,0,3,0,0,27.3,6.32137491935484,0.16245354762,"US",0.08820778568,0.088,0.00848392876,0.067,0.3,0.0234481631351162,"U","1",1,0.86207085505,1,"0","1","0","1","0","Q","H","1","M","0",0.804848015873016,"1","G","A","H","1","R","0",2,0.935,"1","0","R","0",0,87,0.14,"support","SICD","Child health assessment"
10,47,"Bee, Mitchell, Barnard, Eyres, & Hammond",1984,0.47,"J",1974,"0","1","0","0",0.97,0.88,1,0,4,0,0,27.3,6.41188677419355,0.16415973319,"US",0.11006906478,0.088,0.00930520945,0.067,0.3,0.0406901382006976,"U","1",1,0.86515704062,1,"0","1","0","1","0","Q","H","1","M","0",0.795191652236653,"1","R","A","H","1","R","0",3,0.97,"1","0","R","0",0,87,0.17,"support","Other","Child health assessment"
11,48,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624268918918919,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0245819750655814,"U","1",0.968253968,1,0.572254517022632,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,0.35,"communication quality","CHILDES","Bingham, Kwon, & Jeon, 2013"
11,49,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.569307578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,0.04,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
11,50,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.569307578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,0.29,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
11,51,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.569307578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,0.22,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
11,52,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624268918918919,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0245819750655814,"U","1",0.968253968,1,0.572254517022632,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,0.01,"communication quality","CHILDES","Bingham, Kwon, & Jeon, 2013"
11,53,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.572907578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,-0.11,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
11,54,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.572907578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,-0.1,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
11,55,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.572907578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,-0.1,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
11,56,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624268918918919,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0245819750655814,"U","1",0.968253968,1,0.572254517022632,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,0.05,"communication quality","CHILDES","Bingham, Kwon, & Jeon, 2013"
11,57,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.572907578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,-0.03,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
11,58,"Bingham, Kwon, & Jeon",2013,0.824,"J",2010,"0","1","0","0",0.624205405405405,1,2.165,0.513333333,2.165,0.513333333,0.587301587,33.79,6.42,0,"US",0.05,0.05,0.1,0,0,0.0284093158158139,"U","1",0.968253968,1,0.569307578571579,"0","0","0","0","0","BF","L","0","R","1",0.9,"1","G","BF","L","0","R","1",0,0.9,"1","0","R","0",0,63,0.17,"communication quality","SALT","Bingham, Kwon, & Jeon, 2013"
